# Spectrum of AT2015cq in coordinate: 16:29:38.6 +40:14:10
# Produced from MaNGA data by Sun Luming on 2018/05/02
#wavelength  flux(1e-17erg/s/cm^2/A)  error
4516.48  0.30   0.40
4517.52  0.38   0.40
4518.56  0.34   0.40
4519.60  0.22   0.39
4520.64  0.38   0.40
4521.68  0.65   0.41
4522.72  0.68   0.41
4523.76  0.54   0.40
4524.81  0.43   0.40
4525.85  0.39   0.40
4526.89  0.40   0.40
4527.93  0.42   0.41
4528.98  0.22   0.40
4530.02  -0.05  0.40
4531.06  -0.05  0.40
4532.11  0.10   0.41
4533.15  0.25   0.40
4534.19  0.43   0.41
4535.24  0.61   0.41
4536.28  0.67   0.41
4537.33  0.66   0.42
4538.37  0.42   0.41
4539.42  0.04   0.41
4540.46  -0.05  0.40
4541.51  -0.02  0.41
4542.55  -0.08  0.40
4543.60  0.13   0.40
4544.65  0.59   0.42
4545.69  0.89   0.42
4546.74  0.94   0.43
4547.79  0.65   0.42
4548.83  0.17   0.41
4549.88  -0.05  0.40
4550.93  0.12   0.40
4551.98  0.27   0.41
4553.02  0.24   0.40
4554.07  0.25   0.41
4555.12  0.23   0.41
4556.17  0.12   0.39
4557.22  0.07   0.40
4558.27  -0.02  0.40
4559.32  -0.11  0.40
4560.37  -0.01  0.40
4561.42  0.14   0.40
4562.47  0.28   0.39
4563.52  0.56   0.40
4564.57  0.82   0.40
4565.62  0.66   0.40
4566.67  0.15   0.39
4567.73  -0.25  0.38
4568.78  -0.24  0.39
